Player Name,Passes Completed,Passes Attempted,Key Passes,Completed Passes into PA
Lucas Castro,371.0,488.0,13.0,13.0
Danilo Cataldi,307.0,385.0,16.0,12.0
Catena,78.0,88.0,0.0,0.0
Craig Cathcart,1046.0,1278.0,1.0,3.0
Ivan Cavaleiro,252.0,356.0,17.0,12.0
Edinson Cavani,276.0,364.0,10.0,9.0
Santi Cazorla,1413.0,1744.0,73.0,50.0
Dani Ceballos,964.0,1045.0,25.0,16.0
Federico Ceccherini,503.0,581.0,2.0,2.0
Petr Čech,168.0,242.0,0.0,0.0
Žan Celar,0.0,2.0,0.0,0.0
Zeki Çelik,1294.0,1723.0,34.0,37.0
Luca Ceppitelli,995.0,1186.0,2.0,3.0
Fabio Ceravolo,193.0,267.0,10.0,4.0
Alberto Cerri,135.0,216.0,9.0,5.0
Boštjan Cesar,331.0,385.0,1.0,0.0
Nacer Chadli,262.0,330.0,7.0,9.0
Fouad Chafik,706.0,944.0,17.0,17.0
Nathaniel Chalobah,93.0,121.0,0.0,1.0
Calum Chambers,1190.0,1518.0,15.0,16.0
Timothy Chandler,2.0,3.0,1.0,1.0
Kwon Chang-hoon,244.0,348.0,12.0,11.0
Charles,386.0,561.0,16.0,10.0
Xavier Chavalerin,1178.0,1519.0,49.0,25.0
Pablo Chavarría,256.0,417.0,19.0,15.0
Chechu,43.0,50.0,0.0,0.0
Pape Cheikh Diop,211.0,233.0,2.0,2.0
Chema,285.0,380.0,2.0,1.0
Denis Cheryshev,472.0,722.0,35.0,37.0
Raman Chibsah,761.0,941.0,18.0,7.0
Leandro Chichizola,12.0,26.0,0.0,0.0
Giorgio Chiellini,1147.0,1339.0,7.0,5.0
Federico Chiesa,673.0,981.0,51.0,50.0
Ben Chilwell,1575.0,2239.0,40.0,36.0
Vlad Chiricheș,124.0,134.0,0.0,0.0
Tahith Chong,13.0,15.0,0.0,1.0
Hamza Choudhury,207.0,238.0,4.0,3.0
Andreas Christensen,416.0,446.0,0.0,0.0
Cyrus Christie,876.0,1194.0,21.0,24.0
Samuel Chukwueze,387.0,540.0,23.0,21.0
Camillo Ciano,602.0,983.0,59.0,37.0
Amato Ciciretti,46.0,62.0,2.0,2.0
Luca Cigarini,1064.0,1366.0,34.0,23.0
Per Ciljan Skjelbred,493.0,572.0,8.0,4.0
Jasper Cillessen,102.0,115.0,0.0,0.0
Laurent Ciman,495.0,568.0,2.0,1.0
Daniel Ciofani,234.0,341.0,13.0,5.0
Thiago Cionek,1303.0,1637.0,15.0,14.0
Ibrahima Cissé,28.0,33.0,0.0,0.0
Till Cissokho,27.0,34.0,1.0,1.0
Ciaran Clark,225.0,302.0,3.0,3.0
Tom Cleverley,175.0,229.0,0.0,5.0
Nathaniel Clyne,454.0,588.0,5.0,10.0
Nathaniel Clyne,68.0,84.0,0.0,1.0
Conor Coady,1412.0,1677.0,0.0,5.0
Marcus Coco,368.0,587.0,16.0,17.0
Coke,700.0,925.0,15.0,22.0
Joel Coleman,12.0,37.0,0.0,0.0
Séamus Coleman,1218.0,1583.0,22.0,25.0
Álex Collado,24.0,28.0,0.0,0.0
Omar Colley,982.0,1110.0,1.0,0.0
Racine Coly,255.0,307.0,2.0,5.0
Kingsley Coman,545.0,685.0,27.0,36.0
Santi Comesaña,916.0,1075.0,10.0,9.0
Daniel Congré,1250.0,1539.0,7.0,5.0
Andrea Consigli,849.0,1172.0,0.0,0.0
Andrea Conti,300.0,361.0,9.0,9.0
Lewis Cook,328.0,400.0,2.0,7.0
Steve Cook,1222.0,1573.0,12.0,5.0
Duje Čop,120.0,176.0,10.0,6.0
Francis Coquelin,840.0,974.0,16.0,7.0
Gabriele Corbo,5.0,5.0,0.0,0.0
Iñigo Córdoba,308.0,457.0,16.0,20.0
Sergio Córdova,101.0,132.0,3.0,3.0
Benjamin Corgnet,178.0,286.0,8.0,5.0
Ante Ćorić,10.0,14.0,1.0,0.0
Jack Cork,1081.0,1349.0,17.0,16.0
Andreas Cornelius,160.0,253.0,10.0,2.0
Maxwel Cornet,348.0,485.0,26.0,20.0
Quentin Cornette,44.0,64.0,0.0,0.0
Ángel Correa,566.0,766.0,33.0,22.0
Joaquín Correa,748.0,883.0,51.0,36.0
Danny da Costa,868.0,1368.0,30.0,39.0
Diego Costa,220.0,311.0,9.0,8.0
Douglas Costa,271.0,348.0,20.0,17.0
Filippo Costa,179.0,248.0,8.0,6.0
Hélder Costa,372.0,493.0,17.0,20.0
Jaume Costa,781.0,964.0,10.0,19.0
Nuno da Costa,348.0,500.0,22.0,10.0
David Costas,614.0,689.0,0.0,0.0
Benoît Costil,792.0,1150.0,3.0,0.0
Kalifa Coulibaly,252.0,443.0,20.0,8.0
Senou Coulibaly,149.0,201.0,1.0,2.0
