Player Name,League,Position,Age,Matches Played,Starts,90s Played,Goals,Assists,Yellow Cards,Red Cards
Federico Bonazzoli,Serie A,FW,20.0,1,0,0.3,0,0,0,0
Daniele Bonera,La Liga,DF,36.0,15,14,13.2,0,1,4,1
Gaëtan Bong,Premier League,DF,29.0,25,25,24.8,0,0,2,0
Kevin Bonifazi,Serie A,"DF,FW",21.0,6,4,4.5,0,0,0,0
Landry Bonnefoi,Ligue 1,GK,33.0,4,3,3.0,0,0,0,0
Leonardo Bonucci,Serie A,DF,30.0,35,35,34.3,2,1,5,1
Wilfried Bony,Premier League,FW,28.0,15,8,7.9,2,0,2,0
Celso Borges,La Liga,MF,29.0,32,26,25.5,3,3,4,2
Fabio Borini,Serie A,"FW,DF",26.0,29,19,17.9,2,3,5,0
Marco Borriello,Serie A,FW,35.0,15,9,8.6,1,0,6,0
Gabriel Boschilia,Ligue 1,"FW,MF",21.0,5,1,0.9,0,0,0,0
Ryad Boudebouz,La Liga,"MF,FW",27.0,27,15,15.2,2,3,2,0
Jean-Christophe Bouet,Ligue 1,GK,34.0,1,1,1.0,0,0,0,0
Sofiane Boufal,Premier League,"FW,MF",23.0,26,11,13.5,2,2,1,0
Arnold Bouka Moutou,Ligue 1,DF,28.0,6,3,3.7,0,0,1,0
Farid Boulaya,Ligue 1,"FW,MF",24.0,7,0,2.0,0,1,0,0
Yassine Bounou,La Liga,GK,26.0,30,30,29.5,0,0,2,0
Emmanuel Bourgaud,Ligue 1,"MF,FW",29.0,17,4,6.0,0,1,0,0
Benjamin Bourigeaud,Ligue 1,"MF,FW",23.0,37,35,34.5,10,7,3,0
Eneko Bóveda,La Liga,DF,28.0,8,7,7.4,0,0,2,0
Eneko Bóveda,La Liga,DF,28.0,6,6,5.8,0,0,1,0
Lucas Boyé,Serie A,"FW,MF",21.0,11,0,1.7,0,0,0,0
Lucas Boyé,La Liga,"FW,MF",21.0,13,2,3.2,0,0,2,0
